55188.300	41.332	0.063
55189.100	41.359	0.063
55192.200	41.423	0.063
55206.300	41.596	0.061
55207.800	41.627	0.061
55211.200	41.689	0.062
55212.200	41.681	0.066
55225.200	41.800	0.061
55235.200	41.877	0.046
55238.100	41.898	0.051
55244.100	41.928	0.052
55260.200	41.987	0.065
55264.100	41.980	0.065
55271.000	41.965	0.071
55271.100	41.965	0.071
55274.100	41.956	0.073
55277.100	41.940	0.070
55278.100	41.933	0.072
55280.100	41.919	0.077
55283.100	41.891	0.080
55290.100	41.786	0.091
55292.000	41.758	0.103
55305.100	41.601	0.115
55313.000	41.548	0.119
55355.000	41.516	0.169
